question_id,question_code,question_text,model_id,construct_family,target_field,created_datetime,updated_datetime
e0f25b13-b4c5-5607-9ff0-6dffb4ab9e76,V2Q01,"V2Q01. I would enjoy building, coding, repairing, or testing how things work.",tds_recommender_v2,domain_interest,stem,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
52bf0a53-1b43-5e2d-a8ac-b648090df27d,V2Q02,"V2Q02. I like activities that involve numbers, experiments, tools, or technology.",tds_recommender_v2,domain_interest,stem,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
0737b013-9601-517e-aa9f-ba0a49a6f026,V2Q03,V2Q03. I can learn technical or scientific ideas if I practice them step by step.,tds_recommender_v2,domain_self_efficacy,stem,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
2c4c4982-f87e-52e4-9611-603ae32fc311,V2Q04,"V2Q04. I am confident solving problems that involve math, logic, or systems.",tds_recommender_v2,domain_self_efficacy,stem,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
5db837bf-b36b-5d0f-997f-e6d7a554841c,V2Q05,V2Q05. I would enjoy learning how to care for people's health and safety.,tds_recommender_v2,domain_interest,health,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
54d39ab9-fbde-5c7b-8501-a054a2475ce0,V2Q06,"V2Q06. I am interested in biology, medicine, first aid, or community health work.",tds_recommender_v2,domain_interest,health,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
f112d6c0-58e2-5568-8e9c-9755cff82c0d,V2Q07,V2Q07. I can stay careful and calm when helping someone with a health concern.,tds_recommender_v2,domain_self_efficacy,health,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
54f52b39-4af5-5690-a03b-58f8a65820d1,V2Q08,V2Q08. I am confident following detailed procedures that protect people's well-being.,tds_recommender_v2,domain_self_efficacy,health,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
a93ab461-94c5-5ead-9108-6bbd55ef1be8,V2Q09,"V2Q09. I would enjoy creating, writing, performing, designing, or producing media.",tds_recommender_v2,domain_interest,arts,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
43655807-ad66-5051-a6d6-1259cbf4a6fb,V2Q10,V2Q10. I like activities where I can express ideas in original or visual ways.,tds_recommender_v2,domain_interest,arts,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
a500e55b-7b81-5dd1-863f-b64afe0b9bd8,V2Q11,V2Q11. I can improve creative work after feedback and revision.,tds_recommender_v2,domain_self_efficacy,arts,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
d2c0ddf6-c4a0-5dbd-becd-e961476c5c23,V2Q12,"V2Q12. I am confident presenting ideas through words, images, performance, or design.",tds_recommender_v2,domain_self_efficacy,arts,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
0b7ea2e0-9aa3-5045-be8d-07a36af81987,V2Q13,"V2Q13. I would enjoy planning, selling, budgeting, managing, or starting a venture.",tds_recommender_v2,domain_interest,business,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
4a09092a-ac18-5466-8273-4ede847222fa,V2Q14,"V2Q14. I like activities involving money decisions, customers, teams, or operations.",tds_recommender_v2,domain_interest,business,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
cbc609b0-eb25-5b21-af22-e46764541e5a,V2Q15,V2Q15. I can organize tasks and persuade people toward a practical goal.,tds_recommender_v2,domain_self_efficacy,business,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
