option_id,question_id,question_code,option_label,option_text,score_stem,score_health,score_arts,score_business,score_education,score_agri,question_group,display_order,created_datetime,updated_datetime
e4ea0008-25df-542e-be7e-75610467fb5c,e0f25b13-b4c5-5607-9ff0-6dffb4ab9e76,V2Q01,1,Not like me,0.0,0.0,0.0,0.0,0.0,0.0,internal,1,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
2436cd5f-70ff-51e1-9b0c-6c364dfe003e,e0f25b13-b4c5-5607-9ff0-6dffb4ab9e76,V2Q01,2,Slightly like me,0.0,0.0,0.0,0.0,0.0,0.0,internal,2,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
6f37a59a-78b6-5d9c-8a11-fbabb6104e0e,e0f25b13-b4c5-5607-9ff0-6dffb4ab9e76,V2Q01,3,Somewhat like me,0.0,0.0,0.0,0.0,0.0,0.0,internal,3,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
6b60db25-0c88-5427-8247-7b2ad6b880e0,e0f25b13-b4c5-5607-9ff0-6dffb4ab9e76,V2Q01,4,Very like me,0.0,0.0,0.0,0.0,0.0,0.0,internal,4,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
881af97e-5047-5bf9-82d2-b3dc04899ea5,e0f25b13-b4c5-5607-9ff0-6dffb4ab9e76,V2Q01,5,Strongly like me,0.0,0.0,0.0,0.0,0.0,0.0,internal,5,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
343d3ea0-2bbe-5fae-942f-b1a0c3c1a239,52bf0a53-1b43-5e2d-a8ac-b648090df27d,V2Q02,1,Not like me,0.0,0.0,0.0,0.0,0.0,0.0,internal,1,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
b4a928db-8e05-5bfc-b333-75c975e86325,52bf0a53-1b43-5e2d-a8ac-b648090df27d,V2Q02,2,Slightly like me,0.0,0.0,0.0,0.0,0.0,0.0,internal,2,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
9850fa31-0d92-5705-91cf-01f2c3a71774,52bf0a53-1b43-5e2d-a8ac-b648090df27d,V2Q02,3,Somewhat like me,0.0,0.0,0.0,0.0,0.0,0.0,internal,3,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
431f31f1-6f3d-5606-bd12-f39668aa174e,52bf0a53-1b43-5e2d-a8ac-b648090df27d,V2Q02,4,Very like me,0.0,0.0,0.0,0.0,0.0,0.0,internal,4,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
d69a66b5-d9f0-5204-a948-50efbe3344b9,52bf0a53-1b43-5e2d-a8ac-b648090df27d,V2Q02,5,Strongly like me,0.0,0.0,0.0,0.0,0.0,0.0,internal,5,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
